seed,snr_db,n_targets,sample_index,method,measurement_nmse_db,per_component_half_bin_hit,all_components_half_bin_hit,gate_pass,minimum_candidate_margin,boundary_saturation_rate,fft_support_ms,local_update_ms,grid_ls_ms,final_ls_ms,gate_decision_ms,wall_clock_ms
20260630,0.0,2,13,axiswise_quadratic_peak_joint_ls,-3.977964592522347,1.0,1,0,nan,nan,1.6449,1.6753,0.0,3.8973,0.0,7.2598
20260630,0.0,2,13,axiswise_candan_joint_ls,-38.02214437879914,1.0,1,0,nan,nan,1.6396,1.55,0.0,3.9694,0.0,7.1869000000000005
20260630,0.0,2,13,residual_gated_candan_joint_ls,-38.02214437879914,1.0,1,1,nan,nan,1.7509,1.6858,3.9237,3.9868,0.7387,12.0146
20260630,0.0,2,13,one_step_fixed_support_newton_joint_ls,-3.4485268363655464,1.0,1,0,nan,nan,1.6585,12.2159,0.0,3.9116,0.0,17.7726
20260630,0.0,2,13,cartesian_local_joint_ls,-14.656558082153516,1.0,1,0,0.01739631879871211,0.0,1.6255,0.6092,0.0,3.9013,0.0,6.1731
20260630,0.0,2,14,grid_fft_topL_joint_ls,-4.475169821679767,1.0,1,0,nan,nan,1.6397,0.0,0.0,3.8777,0.0,5.5106
20260630,0.0,2,14,axiswise_quadratic_peak_joint_ls,-5.115653450149415,1.0,1,0,nan,nan,1.6924,1.6939,0.0,4.076,0.0,7.4696
20260630,0.0,2,14,axiswise_candan_joint_ls,-37.33416636908063,1.0,1,0,nan,nan,1.6773,1.6211,0.0,3.9956,0.0,7.318099999999999
20260630,0.0,2,14,residual_gated_candan_joint_ls,-37.33416636908063,1.0,1,1,nan,nan,1.6822,1.5971,3.8199,3.7934,0.7603,11.7645
20260630,0.0,2,14,one_step_fixed_support_newton_joint_ls,-7.545750024653572,1.0,1,0,nan,nan,1.6975,10.8761,0.0,3.9371,0.0,16.5363
20260630,0.0,2,14,cartesian_local_joint_ls,-13.329331261304176,1.0,1,0,0.01337411740964252,0.0,1.7488,0.6179,0.0,3.8932,0.0,6.2297
20260630,0.0,2,14,residual_gated_cartesian_local_joint_ls,-13.329331261304176,1.0,1,1,0.01337411740964252,0.0,1.6882,0.6288,3.8444,3.8967,0.7397,10.7844
20260630,0.0,2,15,axiswise_quadratic_peak_joint_ls,-5.552523388468251,0.0,0,0,nan,nan,1.7963,1.6172,0.0,3.9537,0.0,7.3672
20260630,0.0,2,15,axiswise_candan_joint_ls,-8.282628197535168,0.5,0,0,nan,nan,1.6526,1.5848,0.0,3.7873,0.0,7.0929
20260630,0.0,2,15,residual_gated_candan_joint_ls,-8.282628197535168,0.5,0,1,nan,nan,1.6633,1.6076,3.8818,4.1094,0.7474,12.119
