split,seed,snr_db,n_targets,sample_index,search_radius,measurement_nmse_db,gain_vs_grid_db,per_component_half_bin_hit,harmful_update,candidate_axis_correctness,boundary_saturation_rate,minimum_candidate_margin
validation,20260808,0.0,4,0,0.55,-7.820364543125212,3.89656496275639,0.5,0.0,0.4166666666666667,0.16666666666666666,0.00215866979396322
validation,20260808,0.0,4,1,0.25,-16.448566817205847,12.03775823788504,0.5,0.0,0.5,0.5833333333333334,0.0014544280320354047
validation,20260808,0.0,4,1,0.35,-16.31827597411361,11.907467394792803,0.5,0.0,0.5,0.4166666666666667,0.012386989716941067
validation,20260808,0.0,4,1,0.45,-15.547569088683783,11.136760509362976,0.5,0.0,0.5833333333333334,0.16666666666666666,0.040304205888446305
validation,20260808,0.0,4,1,0.5,-14.989614874418834,10.578806295098026,0.5,0.0,0.5833333333333334,0.16666666666666666,0.041288691994838686
validation,20260808,0.0,4,1,0.55,-14.037930790470497,9.62712221114969,0.5,0.0,0.5833333333333334,0.16666666666666666,0.023737927384068176
validation,20260808,0.0,4,2,0.25,-12.249513732621718,9.113178455043883,0.75,0.0,0.75,0.75,0.0005057818660852492
validation,20260808,0.0,4,2,0.35,-11.989576916390416,8.85324163881258,0.75,0.0,0.8333333333333334,0.5833333333333334,0.003092857190187867
validation,20260808,0.0,4,2,0.45,-11.439129261732681,8.302793984154846,0.75,0.0,0.75,0.4166666666666667,0.008817235441917941
validation,20260808,0.0,4,2,0.5,-11.324303605471847,8.187968327894012,0.75,0.0,0.6666666666666666,0.08333333333333333,0.00142285664660892
validation,20260808,0.0,4,2,0.55,-11.871769449345631,8.735434171767796,0.75,0.0,0.75,0.08333333333333333,0.05454541764783205
validation,20260808,0.0,4,3,0.25,-9.757390881168382,7.98809242275417,1.0,0.0,1.0,0.9166666666666666,0.02104746409188838
validation,20260808,0.0,4,3,0.35,-16.398404043860467,14.629105585446254,1.0,0.0,1.0,0.6666666666666666,0.01277995641547746
validation,20260808,0.0,4,3,0.45,-13.909351827522883,12.14005336910867,1.0,0.0,0.9166666666666666,0.5833333333333334,0.00020814400599131425
validation,20260808,0.0,4,3,0.5,-11.795016857203269,10.025718398789056,1.0,0.0,1.0,0.3333333333333333,0.007512590657683687
validation,20260808,0.0,4,3,0.55,-11.717636151414958,9.948337693000745,1.0,0.0,1.0,0.08333333333333333,0.023545564229229373
validation,20260808,0.0,4,4,0.25,-12.573553368975421,7.718688359111228,0.75,0.0,0.75,0.4166666666666667,0.0032377927359252172
validation,20260808,0.0,4,4,0.35,-13.643320856917438,8.788455847053244,0.75,0.0,0.75,0.3333333333333333,0.023535884142553323
validation,20260808,0.0,4,4,0.45,-11.83674601339191,6.981881003527716,0.75,0.0,0.75,0.25,0.01791583874314258
validation,20260808,0.0,4,4,0.5,-11.060833860981365,6.205968851117172,0.75,0.0,0.75,0.16666666666666666,0.0033148553185412427
