split,seed,snr_db,n_targets,sample_index,truth_index,axis,method,absolute_true_offset,offset_bucket,absolute_bin_error,half_bin_axis_hit,candidate_axis_correct
validation,20260808,0.0,2,5,0,delay,axiswise_candan_joint_ls,0.0005942786183298909,"[0.00,0.10)",0.0019537277840093736,1.0,nan
validation,20260808,0.0,2,5,0,doppler,axiswise_candan_joint_ls,0.3806354555514143,"[0.30,0.40)",0.001447021068127441,1.0,nan
validation,20260808,0.0,2,5,1,angle,axiswise_candan_joint_ls,0.3065346731293991,"[0.30,0.40)",0.0003781995473701727,1.0,nan
validation,20260808,0.0,2,5,1,delay,axiswise_candan_joint_ls,0.04127440036310426,"[0.00,0.10)",0.0015390828000025891,1.0,nan
validation,20260808,0.0,2,5,1,doppler,axiswise_candan_joint_ls,0.12151131251050257,"[0.10,0.20)",6.51942526666005e-05,1.0,nan
validation,20260808,0.0,2,5,0,angle,one_step_fixed_support_newton_joint_ls,0.22797567872555524,"[0.20,0.30)",0.22797567872555646,1.0,nan
validation,20260808,0.0,2,5,0,delay,one_step_fixed_support_newton_joint_ls,0.0005942786183298909,"[0.00,0.10)",0.0005942786183297244,1.0,nan
validation,20260808,0.0,2,5,0,doppler,one_step_fixed_support_newton_joint_ls,0.3806354555514143,"[0.30,0.40)",0.3806354555514151,1.0,nan
validation,20260808,0.0,2,5,1,angle,one_step_fixed_support_newton_joint_ls,0.3065346731293991,"[0.30,0.40)",0.1434653268705972,1.0,nan
validation,20260808,0.0,2,5,1,delay,one_step_fixed_support_newton_joint_ls,0.04127440036310426,"[0.00,0.10)",0.023701162690120015,1.0,nan
validation,20260808,0.0,2,5,1,doppler,one_step_fixed_support_newton_joint_ls,0.12151131251050257,"[0.10,0.20)",0.07705539495610125,1.0,nan
validation,20260808,0.0,2,5,0,angle,cartesian_local_joint_ls,0.22797567872555524,"[0.20,0.30)",0.0029756787255621475,1.0,1.0
validation,20260808,0.0,2,5,0,delay,cartesian_local_joint_ls,0.0005942786183298909,"[0.00,0.10)",0.0005942786183297244,1.0,1.0
validation,20260808,0.0,2,5,0,doppler,cartesian_local_joint_ls,0.3806354555514143,"[0.30,0.40)",0.06936454444858242,1.0,1.0
validation,20260808,0.0,2,5,1,angle,cartesian_local_joint_ls,0.3065346731293991,"[0.30,0.40)",0.08153467312941132,1.0,1.0
validation,20260808,0.0,2,5,1,delay,cartesian_local_joint_ls,0.04127440036310426,"[0.00,0.10)",0.041274400363104036,1.0,1.0
validation,20260808,0.0,2,5,1,doppler,cartesian_local_joint_ls,0.12151131251050257,"[0.10,0.20)",0.10348868748949691,1.0,1.0
validation,20260808,0.0,2,6,0,angle,grid_fft_topL_joint_ls,0.2588261552157991,"[0.20,0.30)",23.2588261552158,0.0,nan
validation,20260808,0.0,2,6,0,delay,grid_fft_topL_joint_ls,0.44924339567992605,"[0.40,0.49]",0.44924339567992533,1.0,nan
validation,20260808,0.0,2,6,0,doppler,grid_fft_topL_joint_ls,0.3111779686149213,"[0.30,0.40)",9.31117796861492,0.0,nan
validation,20260808,0.0,2,6,1,angle,grid_fft_topL_joint_ls,0.05181772098110787,"[0.00,0.10)",0.05181772098110571,1.0,nan
validation,20260808,0.0,2,6,1,delay,grid_fft_topL_joint_ls,0.35761889454619034,"[0.30,0.40)",0.35761889454619045,1.0,nan
validation,20260808,0.0,2,6,1,doppler,grid_fft_topL_joint_ls,0.36812225963813316,"[0.30,0.40)",0.3681222596381346,1.0,nan
validation,20260808,0.0,2,6,0,angle,axiswise_quadratic_peak_joint_ls,0.2588261552157991,"[0.20,0.30)",23.258334804028024,0.0,nan
validation,20260808,0.0,2,6,0,delay,axiswise_quadratic_peak_joint_ls,0.44924339567992605,"[0.40,0.49]",0.37561468941806275,1.0,nan
