split,seed,snr_db,n_targets,sample_index,dynamic_range_db,minimum_true_separation_bins,coarse_design_condition,refined_design_condition,refined_collision_rate,candidate_axis_correctness,minimum_candidate_margin,mean_candidate_margin,boundary_saturation_rate,residual_reduction_fraction,local_gain_vs_grid_db,harmful_local_update,q_sup,duplicate_neighborhood_rate,coarse_mean_absolute_bin_error,coarse_maximum_absolute_bin_error,theory_ratio_min,theory_ratio_mean,theory_condition_fraction,theory_any_component_condition,theory_all_components_condition,noiseless_candidate_gap_min,interference_envelope_max,noise_envelope,theory_eta,grid_fft_topL_joint_ls_nmse_db,grid_fft_topL_joint_ls_per_component_half_bin_hit,grid_fft_topL_joint_ls_all_components_half_bin_hit,axiswise_quadratic_peak_joint_ls_nmse_db,axiswise_quadratic_peak_joint_ls_per_component_half_bin_hit,axiswise_quadratic_peak_joint_ls_all_components_half_bin_hit,axiswise_candan_joint_ls_nmse_db,axiswise_candan_joint_ls_per_component_half_bin_hit,axiswise_candan_joint_ls_all_components_half_bin_hit,one_step_fixed_support_newton_joint_ls_nmse_db,one_step_fixed_support_newton_joint_ls_per_component_half_bin_hit,one_step_fixed_support_newton_joint_ls_all_components_half_bin_hit,cartesian_local_joint_ls_nmse_db,cartesian_local_joint_ls_per_component_half_bin_hit,cartesian_local_joint_ls_all_components_half_bin_hit,gate_pass,gated_gain_vs_grid_db,residual_gated_cartesian_local_joint_ls_nmse_db,residual_gated_cartesian_local_joint_ls_per_component_half_bin_hit,residual_gated_cartesian_local_joint_ls_all_components_half_bin_hit
validation,20260808,0.0,2,10,0.9381400163653526,8.472597183960493,1.0000000000000002,1.0001465377373286,0.0,1.0,0.0018976816415812797,0.011908521309918343,0.3333333333333333,0.18735792020585185,8.749348711925945,0.0,1.0,0.0,0.19855133764133873,0.3921391850020388,0.012359132340756149,0.18672714724859912,0.0,0.0,0.0,0.00037669253864736074,0.000498955659393762,0.01474048543814829,0.05,-3.620264917907439,1.0,1.0,-5.1792537250381665,1.0,1.0,-39.12636646055292,1.0,1.0,-5.511260580319347,1.0,1.0,-12.369613629833385,1.0,1.0,1,8.749348711925945,-12.369613629833385,1.0,1.0
validation,20260808,0.0,2,11,3.216742748999791,19.81751414523651,1.0000000000000002,1.0000328699451067,0.0,1.0,0.027423719191198126,0.04172578122468265,0.3333333333333333,0.26434404742379514,12.594355616807785,0.0,1.0,0.0,0.21737795430009652,0.45403212060144593,0.5222631700854843,0.6214088899272363,0.0,0.0,0.0,0.017649703606665623,9.228926835978184e-05,0.016831959047810735,0.05,-2.5077983654827145,1.0,1.0,-5.268439729943346,1.0,1.0,-37.84844202348941,1.0,1.0,-3.5606579800507965,1.0,1.0,-15.1021539822905,1.0,1.0,1,12.594355616807785,-15.1021539822905,1.0,1.0
validation,20260808,0.0,2,12,2.364093261483466,58.55991757387774,1.0000000000000002,1.0000000000000002,0.0,1.0,0.004486467171000478,0.013327003516413827,0.3333333333333333,0.18912074365523124,8.445158766192971,0.0,1.0,0.0,0.21323552658415826,0.39213491270573186,0.13232380906776992,0.2803976921063253,0.0,0.0,0.0,0.00228929583670201,2.8440281331230385e-05,0.008621914680599856,0.05,-3.5304065852134414,1.0,1.0,-4.998910381788488,1.0,1.0,-36.67480584919338,1.0,1.0,-6.393901895593465,1.0,1.0,-11.975565351406413,1.0,1.0,1,8.445158766192971,-11.975565351406413,1.0,1.0
validation,20260808,0.0,2,13,0.6536041555037303,16.353339550491533,1.0,1.000050861312113,0.0,1.0,0.007404090927183779,0.02432924597060901,0.3333333333333333,0.21967019128069176,10.69217509527811,0.0,1.0,0.0,0.2118362061886329,0.4113556823942446,0.0851613673623759,0.38953145799259903,0.0,0.0,0.0,0.0033298946021920184,0.0001707368297612881,0.019386011327929886,0.05,-3.1076807877090844,1.0,1.0,-4.984618696082616,1.0,1.0,-38.078220104282366,1.0,1.0,-3.1076807877090844,1.0,1.0,-13.799855882987194,1.0,1.0,1,10.69217509527811,-13.799855882987194,1.0,1.0
validation,20260808,0.0,2,14,24.173792635491008,55.1293328447979,1.0000000000000002,11.02998763963809,1.0,0.6666666666666666,0.02903899206301334,0.02913701220630499,0.6666666666666666,0.2703076281048601,11.92681213551782,0.0,0.5,0.5,11.694945358338543,54.06855106664352,6.705340528988514e-08,0.2846714335517222,0.0,0.0,0.0,1.9693439446859198e-07,1.451202853001538,0.017286283509916213,0.05,-2.3761488613331796,0.5,0.0,-4.282736488187727,0.5,0.0,-24.161471565002692,0.5,0.0,-2.3761488613331796,0.5,0.0,-14.302960996850999,0.5,0.0,1,11.92681213551782,-14.302960996850999,0.5,0.0
validation,20260808,0.0,2,15,0.7939523173848566,32.09447634691576,1.0000000000000002,1.0,0.0,1.0,0.040046444714389784,0.04884403906192822,0.3333333333333333,0.30465190759163885,13.76780542056977,0.0,1.0,0.0,0.29504780047430784,0.484390378425438,0.5874995674505433,0.7609354474992331,0.0,0.0,0.0,0.011443419925945775,3.7917895739414394e-05,0.009707636024108223,0.05,-1.9437483046683945,1.0,1.0,-4.23875540133341,1.0,1.0,-34.43784096030036,1.0,1.0,-1.9437483046683945,1.0,1.0,-15.711553725238165,1.0,1.0,1,13.76780542056977,-15.711553725238165,1.0,1.0
validation,20260808,0.0,2,16,4.170238883741585,63.880834539228516,1.0000000000000002,11.013856728228616,1.0,0.5,0.07317934367539647,0.07359338512657676,0.3333333333333333,0.1332363159915736,2.840279596960439,0.0,0.5,0.5,12.0167754076975,63.05463789598096,5.7844371045095004e-06,0.6993385430959891,0.5,1.0,0.0,1.4556711833342529e-05,1.241110708102239,0.017154493017696597,0.05,-2.595427090729542,0.5,0.0,-3.7559305530808293,0.5,0.0,-5.576146121639823,0.5,0.0,-2.595427090729542,0.5,0.0,-5.435706687689981,0.5,0.0,1,2.840279596960439,-5.435706687689981,0.5,0.0
validation,20260808,0.0,2,17,13.924109212284266,18.29593579129426,1.0000000000000002,3.337387368993254,0.0,0.5,0.08779116887101077,0.09506202478562656,0.16666666666666666,0.05519349972248577,5.308761260949437,0.0,0.5,0.5,5.00415994651964,13.287262737630854,4.328085114846595e-07,0.9651493142737166,0.5,1.0,0.0,6.678428886523927e-07,0.7614382422149382,0.010084118056463018,0.05,-8.13950991631288,0.5,0.0,-8.79054629220063,0.5,0.0,-14.08869228023487,0.5,0.0,-11.101876104408461,0.5,0.0,-13.448271177262317,0.5,0.0,1,5.308761260949437,-13.448271177262317,0.5,0.0
validation,20260808,0.0,2,18,2.204983837226405,17.133303774605114,1.0000000000000002,11.013856728228616,1.0,0.5,0.047209129520956745,0.06880993494324533,0.3333333333333333,0.10277623283449389,1.8413469858463718,0.0,0.5,0.5,3.808981686242955,15.289846319701834,1.3672013330628008e-06,0.356155655308789,0.0,0.0,0.0,1.916286774721835e-06,0.6902326372900803,0.010573721064242779,0.05,-2.3313152488643776,0.5,0.0,-2.6733042595775434,0.5,0.0,-4.250665478641995,0.5,0.0,-2.3313152488643776,0.5,0.0,-4.172662234710749,0.5,0.0,1,1.8413469858463718,-4.172662234710749,0.5,0.0
validation,20260808,0.0,2,19,4.1276053939775785,10.706798223646022,1.0000000000000002,11.02998763963777,1.0,0.5,0.013523649316969012,0.05176236756917357,0.3333333333333333,0.07845446893730235,1.917650130338465,0.0,0.5,0.5,2.8054375531504765,7.580573124156146,6.885118659812098e-06,0.09925808235038994,0.0,0.0,0.0,2.0540981397733902e-05,1.4704283808256025,0.021265692482822268,0.05,-3.514027978841334,0.5,0.0,-3.9157093740571165,0.5,0.0,-5.546262236915458,0.5,0.0,-5.055561283626016,0.5,0.0,-5.431678109179799,0.5,0.0,1,1.917650130338465,-5.431678109179799,0.5,0.0
