profile,seed,sample_index,snr_db,l_value,channel_nmse_db,support_recall,dominant_energy_recall,topk_energy_efficiency,clean_topk_energy_fraction,effective_support_95,effective_support_99,delay_support_recall,angle_support_recall,delay_bin_rmse,angle_bin_rmse,noise_variance
A,20260626.0,48.0,0.0,8.0,-7.417466474824536,0.875,0.8215821144544729,0.9992926076070899,0.8221637068063945,39.0,173.0,0.875,0.875,0.5,0.5,1.000000082985026
A,20260626.0,49.0,0.0,8.0,-6.805323657198659,0.875,0.7959449019841423,0.9942578023044675,0.8005417710973147,47.0,213.0,0.875,0.875,0.5,0.3535533905932738,1.000000054746508
A,20260626.0,0.0,0.0,16.0,-6.570304890335135,0.875,0.7875310459466841,0.9898290674186919,0.7956232766536477,65.0,294.0,0.9375,0.875,0.25,0.7905694150420949,1.0000000176969142
A,20260626.0,1.0,0.0,16.0,-8.374482858047774,0.9375,0.8662531568249221,0.9983582245078565,0.8676776887894563,49.0,211.0,0.9375,1.0,0.5590169943749475,0.0,0.9999999956993092
A,20260626.0,2.0,0.0,16.0,-10.761957168298261,0.8125,0.925317487304081,0.9941456829502214,0.9307664894325285,24.0,115.0,0.8125,0.875,0.75,0.5,0.9999998260097842
A,20260626.0,3.0,0.0,16.0,-11.01986033124647,0.9375,0.9279683408325199,0.9994504908344372,0.9284785483048419,26.0,140.0,0.9375,1.0,0.5590169943749475,0.0,1.0000000670420803
A,20260626.0,4.0,0.0,16.0,-9.71761230311939,0.875,0.9054155827846612,0.9910988849833511,0.9135471712289039,31.0,139.0,0.875,0.9375,1.1726039399558574,0.25,0.9999998662220991
A,20260626.0,5.0,0.0,16.0,-7.10170076773727,0.875,0.8120482136277588,0.9894128281819502,0.8207375025851449,64.0,268.0,0.9375,0.875,0.5590169943749475,0.6123724356957945,0.9999999654495426
A,20260626.0,6.0,0.0,16.0,-12.7639571234058,0.875,0.9585868711259473,0.9950735223149171,0.9633327082162854,12.0,77.0,0.875,0.9375,14.517231140957975,0.3535533905932738,1.0000001087644317
A,20260626.0,7.0,0.0,16.0,-9.08112766488864,0.9375,0.8863102969717671,0.9956848764376767,0.8901514102963723,43.0,190.0,0.9375,0.9375,0.75,0.25,0.9999999123530037
A,20260626.0,8.0,0.0,16.0,-11.082800312395001,0.875,0.9331839684956533,0.9995010128197096,0.9336498478005859,23.0,105.0,0.875,0.875,0.3535533905932738,0.8660254037844386,0.9999999319555349
A,20260626.0,9.0,0.0,16.0,-9.141152828878331,0.9375,0.8843474334940631,0.9980127514901754,0.8861083509941192,36.0,164.0,0.9375,0.9375,0.3535533905932738,0.5590169943749475,1.0000000629020662
A,20260626.0,10.0,0.0,16.0,-9.65435746208104,0.9375,0.8990649461275435,0.9932879552577534,0.9051402882402219,39.0,182.0,0.9375,0.9375,0.25,0.3535533905932738,1.0000000371522848
A,20260626.0,11.0,0.0,16.0,-8.308574642352843,0.875,0.8606410647512682,0.9857881437832419,0.8730487074517997,47.0,207.0,0.9375,0.875,0.25,0.5590169943749475,0.9999998558258446
A,20260626.0,12.0,0.0,16.0,-8.788090441449691,0.8125,0.8816518510591516,0.9877319708485037,0.8926023223706885,41.0,185.0,0.8125,0.875,0.75,0.5590169943749475,0.9999999480379547
A,20260626.0,13.0,0.0,16.0,-9.135286411955034,0.75,0.8926357425459305,0.99056250880222,0.9011402456825246,35.0,151.0,0.8125,0.9375,1.3919410907075054,1.0,1.0000000264367026
A,20260626.0,14.0,0.0,16.0,-11.575985024917594,0.9375,0.9455176248291052,0.998523195650724,0.9469160345473239,18.0,82.0,0.9375,0.9375,0.25,0.5,1.000000050882969
A,20260626.0,15.0,0.0,16.0,-9.396909065115576,0.875,0.8946947035310687,0.9939138805091687,0.9001732655878885,40.0,181.0,0.875,0.875,0.6123724356957945,1.0897247358851685,1.000000043735266
A,20260626.0,16.0,0.0,16.0,-9.758011736636261,0.875,0.9039158620105583,0.9960921071266459,0.9074621267886746,32.0,143.0,0.875,0.875,0.3535533905932738,0.5,0.9999999506735873
A,20260626.0,17.0,0.0,16.0,-9.096647675553863,0.875,0.8879816690435185,0.9951413366493084,0.8923171376172535,40.0,181.0,1.0,0.875,0.0,1.0606601717798212,1.0000001187772194
A,20260626.0,18.0,0.0,16.0,-7.397784836613077,0.875,0.8268736713241857,0.990528231335287,0.8347805192886971,58.0,244.0,0.9375,0.9375,0.6123724356957945,0.25,0.9999998749278826
