profile,seed,snr_db,l_value,n_samples,mean_channel_nmse_db,mean_support_recall,mean_dominant_energy_recall,mean_topk_energy_efficiency,mean_clean_topk_energy_fraction,mean_effective_support_95,mean_effective_support_99,mean_delay_support_recall,mean_angle_support_recall,mean_delay_bin_rmse,mean_angle_bin_rmse
C,20260629.0,30.0,4.0,50.0,-6.599007522356267,1.0,0.7595458746835861,1.0,0.7595458746835861,20.76,75.84,1.0,1.0,0.0,0.0
C,20260629.0,30.0,8.0,50.0,-9.186193862593985,1.0,0.8667420309038489,1.0,0.8667420309038489,20.76,75.84,1.0,1.0,0.0,0.0
C,20260629.0,30.0,16.0,50.0,-12.330676131903667,0.9975,0.9345135003966385,0.9999990675776921,0.9345143492885244,20.76,75.84,0.9975,0.9975,0.01,0.017071067811865473
C,20260630.0,0.0,4.0,50.0,-6.729778318352642,0.955,0.7701692610573585,0.9991365345162342,0.7708767264283652,19.62,73.08,0.98,0.955,0.05414213562373095,0.20350536285661414
C,20260630.0,0.0,8.0,50.0,-9.109267915397481,0.93,0.8705169946720859,0.997464023088451,0.8726669047060643,19.62,73.08,0.955,0.9325,0.1702081528017131,0.3441073022257444
C,20260630.0,0.0,16.0,50.0,-11.240803998400953,0.86875,0.9317593620772133,0.9939526117909436,0.9374652062796882,19.62,73.08,0.8975,0.89375,3.6917654327080878,0.8373840633039532
C,20260630.0,10.0,4.0,50.0,-6.7916150172220195,0.975,0.7707167006722725,0.9997930365160318,0.7708767264283652,19.62,73.08,0.98,0.975,0.04,0.1305502584421288
C,20260630.0,10.0,8.0,50.0,-9.33149993304765,0.98,0.8725028655458905,0.9998128718689463,0.8726669047060643,19.62,73.08,0.99,0.98,0.03995352392457285,0.10352740713516717
C,20260630.0,10.0,16.0,50.0,-12.39199182861471,0.9625,0.9371479128858837,0.9996625268862903,0.9374652062796882,19.62,73.08,0.9675,0.96375,0.16937093215649912,0.2914387219129837
C,20260630.0,20.0,4.0,50.0,-6.7987165096576625,0.985,0.7708388791004236,0.9999470509173161,0.7708767264283652,19.62,73.08,0.995,0.985,0.01414213562373095,0.07738768882709854
C,20260630.0,20.0,8.0,50.0,-9.350591354230497,0.9875,0.8726388698599762,0.9999679211676746,0.8726669047060643,19.62,73.08,0.99,0.9875,0.031213203435596425,0.08122417494872465
C,20260630.0,20.0,16.0,50.0,-12.476281840019269,0.9825,0.9374264943256354,0.999958998041246,0.9374652062796882,19.62,73.08,0.9875,0.9825,0.0836067467586918,0.15456174933977004
C,20260630.0,30.0,4.0,50.0,-6.799768170574976,1.0,0.7708767264283652,1.0,0.7708767264283652,19.62,73.08,1.0,1.0,0.0,0.0
C,20260630.0,30.0,8.0,50.0,-9.352966761388881,0.9975,0.8726635924581458,0.9999965660565764,0.8726669047060643,19.62,73.08,0.9975,0.9975,0.007071067811865475,0.022360679774997897
C,20260630.0,30.0,16.0,50.0,-12.485307221506803,0.995,0.9374623548924322,0.9999970358529652,0.9374652062796882,19.62,73.08,0.9975,0.995,0.017071067811865473,0.03995352392457285
D,20260626.0,0.0,4.0,50.0,-15.104242687745817,0.82,0.970614658554753,0.9979797871186012,0.9725806262680093,1.92,12.42,0.865,0.86,1.770280365974742,0.6096780249146991
D,20260626.0,0.0,8.0,50.0,-14.800934915000855,0.645,0.9778291861445649,0.9933940939771267,0.9843357316922661,1.92,12.42,0.69,0.7025,15.136585676161642,2.176250075376528
D,20260626.0,0.0,16.0,50.0,-13.161061853301531,0.45625,0.9820872619704332,0.98930556064968,0.9927020270806723,1.92,12.42,0.4975,0.62875,23.214930815365182,2.6945068843725126
D,20260626.0,10.0,4.0,50.0,-15.825833088213464,0.95,0.9724490836908931,0.9998651879681583,0.9725806262680093,1.92,12.42,0.975,0.955,0.14,0.15650281539872885
D,20260626.0,10.0,8.0,50.0,-18.173090890923017,0.9325,0.9841029233204529,0.9997628003508647,0.9843357316922661,1.92,12.42,0.9425,0.9475,0.33430779664717086,0.32095607694255884
D,20260626.0,10.0,16.0,50.0,-20.82442466368471,0.90125,0.9922195239568715,0.9995142169779725,0.9927020270806723,1.92,12.42,0.9275,0.9125,2.1640483148140266,0.8178845039823653
D,20260626.0,20.0,4.0,50.0,-15.878580644307583,0.975,0.9725698999475408,0.9999890086233353,0.9725806262680093,1.92,12.42,0.985,0.98,0.0482842712474619,0.06059964873437686
