profile,seed,sample_index,snr_db,l_value,channel_nmse_db,support_recall,dominant_energy_recall,delay_bin_rmse,angle_bin_rmse,noise_variance
A,20260627.0,3.0,10.0,8.0,-10.313410156086722,1.0,0.9118023046985061,0.0,0.0,0.09999999053169199
A,20260627.0,0.0,10.0,16.0,-11.824869998053703,0.8125,0.941419163738828,0.9682458365518543,0.5,0.09999999892770262
A,20260627.0,1.0,10.0,16.0,-13.06049409276543,0.9375,0.9573586264886456,4.789311015167004,0.25,0.09999999537599705
A,20260627.0,2.0,10.0,16.0,-11.628982635051235,0.875,0.9371799446618841,0.6123724356957945,0.4330127018922193,0.09999999196354446
A,20260627.0,3.0,10.0,16.0,-12.096108522098586,0.875,0.9484974466970454,0.75,0.25,0.09999999053169199
A,20260627.0,0.0,20.0,4.0,-6.92424309267078,1.0,0.7971235217271044,0.0,0.0,0.009999999892770261
A,20260627.0,1.0,20.0,4.0,-8.21296240488958,1.0,0.8493407984788669,0.0,0.0,0.009999999537599703
A,20260627.0,2.0,20.0,4.0,-6.349070879540781,1.0,0.7686154752208093,0.0,0.0,0.009999999196354447
A,20260627.0,3.0,20.0,4.0,-7.363217884352967,1.0,0.8165842404614028,0.0,0.0,0.009999999053169199
A,20260627.0,0.0,20.0,8.0,-9.924947186263836,1.0,0.8985192551247552,0.0,0.0,0.009999999892770261
A,20260627.0,1.0,20.0,8.0,-10.635632084259075,0.875,0.9140438633546443,0.6123724356957945,0.5,0.009999999537599703
A,20260627.0,2.0,20.0,8.0,-8.972263363502321,0.875,0.8738498997996785,0.0,0.5,0.009999999196354447
A,20260627.0,3.0,20.0,8.0,-10.538860376575009,1.0,0.9118023046985061,0.0,0.0,0.009999999053169199
A,20260627.0,0.0,20.0,16.0,-12.882294725267457,0.9375,0.9490591096714814,0.5590169943749475,0.25,0.009999999892770261
A,20260627.0,1.0,20.0,16.0,-13.866449567409678,0.9375,0.9596312530488134,0.4330127018922193,0.25,0.009999999537599703
A,20260627.0,2.0,20.0,16.0,-12.162632987546981,0.9375,0.9401530217539762,0.5,0.0,0.009999999196354447
A,20260627.0,3.0,20.0,16.0,-13.206889895613061,0.9375,0.9527462653272538,0.75,0.0,0.009999999053169199
A,20260627.0,0.0,30.0,4.0,-6.927196938321593,1.0,0.7971235217271044,0.0,0.0,0.000999999989277026
A,20260627.0,1.0,30.0,4.0,-8.219399733330592,1.0,0.8493407984788669,0.0,0.0,0.0009999999537599704
A,20260627.0,2.0,30.0,4.0,-6.356494866051538,1.0,0.7686154752208093,0.0,0.0,0.0009999999196354447
A,20260627.0,3.0,30.0,4.0,-7.365266396790689,1.0,0.8165842404614028,0.0,0.0,0.0009999999053169199
A,20260627.0,0.0,30.0,8.0,-9.934478014103332,1.0,0.8985192551247552,0.0,0.0,0.000999999989277026
A,20260627.0,1.0,30.0,8.0,-10.726388844250408,1.0,0.9154295902922265,0.0,0.0,0.0009999999537599704
A,20260627.0,2.0,30.0,8.0,-9.016367696348793,1.0,0.874596524171783,0.0,0.0,0.0009999999196354447
A,20260627.0,3.0,30.0,8.0,-10.543365250889508,1.0,0.9118023046985061,0.0,0.0,0.0009999999053169199
A,20260627.0,0.0,30.0,16.0,-12.961908609242956,1.0,0.9495223240818746,0.0,0.0,0.000999999989277026
A,20260627.0,1.0,30.0,16.0,-13.98401708657941,1.0,0.9600912600206102,0.0,0.0,0.0009999999537599704
A,20260627.0,2.0,30.0,16.0,-12.318677901112435,0.9375,0.9414188188658006,0.5590169943749475,0.25,0.0009999999196354447
A,20260627.0,3.0,30.0,16.0,-13.275726268774196,1.0,0.9530382292426773,0.0,0.0,0.0009999999053169199
C,20260626.0,0.0,0.0,4.0,-7.802100129933533,0.75,0.886627808303474,8.0,1.0,1.000000016861005
C,20260626.0,1.0,0.0,4.0,-7.22263530905043,0.75,0.8161922338084934,0.5,0.5,1.000000129818989
C,20260626.0,2.0,0.0,4.0,-7.742118140738458,0.75,0.8629750584710365,8.5,1.0,0.9999999534684743
C,20260626.0,3.0,0.0,4.0,-8.839528859980499,1.0,0.8819383235174632,0.0,0.0,0.9999999478268317
C,20260626.0,0.0,0.0,8.0,-7.334375922429875,0.75,0.9197941569929542,6.334429729659964,1.0606601717798212,1.000000016861005
C,20260626.0,1.0,0.0,8.0,-7.413359936803275,0.75,0.8730842144115475,11.472793905583766,0.3535533905932738,1.000000129818989
C,20260626.0,2.0,0.0,8.0,-7.613795571366639,0.625,0.9003086511697271,8.284020762890446,1.0606601717798212,0.9999999534684743
C,20260626.0,3.0,0.0,8.0,-7.8420562751909895,0.625,0.901126058799262,5.1599418601375735,0.3535533905932738,0.9999999478268317
C,20260626.0,0.0,0.0,16.0,-5.510161050330391,0.5,0.93221843288449,9.624188277460078,0.75,1.000000016861005
C,20260626.0,1.0,0.0,16.0,-5.78309312686228,0.4375,0.8953299941067092,14.692685254915114,0.7905694150420949,1.000000129818989
C,20260626.0,2.0,0.0,16.0,-6.459149139738063,0.4375,0.9301015272168427,9.034655499796326,1.0606601717798212,0.9999999534684743
C,20260626.0,3.0,0.0,16.0,-6.078859223902612,0.4375,0.9159401266805783,14.964541422977184,0.6614378277661477,0.9999999478268317
C,20260626.0,0.0,10.0,4.0,-9.886712528925306,0.75,0.8989402282310811,0.8660254037844386,0.0,0.1000000016861005
C,20260626.0,1.0,10.0,4.0,-7.402120187641207,1.0,0.8215939418782764,0.0,0.0,0.1000000129818989
C,20260626.0,2.0,10.0,4.0,-9.324864685072582,1.0,0.8850393860897551,0.0,0.0,0.09999999534684742
