profile,seed,snr_db,l_value,sample_index,grid_channel_nmse_db,candan_channel_nmse_db,candan_gain_vs_grid_db,candan_harmful_update
A,20260628,0.0,16,30,-6.080627372089603,-6.892198533958079,0.8115711618684758,0
A,20260628,0.0,16,31,-4.618377413567382,-6.520701188846124,1.9023237752787425,0
A,20260628,0.0,16,32,-5.643213215710745,-7.176659925392416,1.5334467096816713,0
A,20260628,0.0,16,33,-6.07823316169374,-9.370907120380306,3.2926739586865654,0
A,20260628,0.0,16,34,-5.144295564480616,-6.458636783786421,1.3143412193058053,0
A,20260628,0.0,16,35,-6.597259014707772,-7.845573947104267,1.2483149323964948,0
A,20260628,0.0,16,36,-6.885678340089693,-8.843412180340682,1.957733840250989,0
A,20260628,0.0,16,37,-5.406637012875134,-8.070541174206495,2.663904161331361,0
A,20260628,0.0,16,38,-6.476519528689106,-8.909275696256213,2.4327561675671063,0
A,20260628,0.0,16,39,-7.0008762002257825,-10.228946956039099,3.2280707558133166,0
A,20260628,0.0,16,40,-6.02689999550838,-7.967511492114276,1.9406114966058956,0
A,20260628,0.0,16,41,-5.234444817126063,-7.131146758824851,1.8967019416987885,0
A,20260628,0.0,16,42,-5.359993658707191,-6.204595819264556,0.8446021605573648,0
A,20260628,0.0,16,43,-6.163782506580215,-7.9221704972817335,1.758387990701518,0
A,20260628,0.0,16,44,-6.137649060034961,-8.273695289246877,2.1360462292119164,0
A,20260628,0.0,16,45,-5.737236033784176,-7.7505752233260665,2.013339189541891,0
A,20260628,0.0,16,46,-5.833363573966157,-6.824124801421214,0.9907612274550575,0
A,20260628,0.0,16,47,-6.26957546149943,-8.154332531342751,1.884757069843321,0
A,20260628,0.0,16,48,-5.339695207609751,-7.243840368792455,1.9041451611827043,0
A,20260628,0.0,16,49,-5.875189017040206,-8.009065164197724,2.133876147157517,0
A,20260628,10.0,4,0,-9.619397472194128,-17.71351456754525,8.094117095351121,0
A,20260628,10.0,4,1,-9.052763295257563,-24.310697447546357,15.257934152288794,0
A,20260628,10.0,4,2,-5.868772049480309,-20.87186507745677,15.003093027976462,0
A,20260628,10.0,4,3,-5.620486553405907,-11.55179259951728,5.931306046111372,0
A,20260628,10.0,4,4,-8.56848590295135,-18.159168871925605,9.590682968974255,0
A,20260628,10.0,4,5,-4.968775404320564,-13.69597069585379,8.727195291533226,0
A,20260628,10.0,4,6,-11.36636105014373,-18.867380508455035,7.501019458311305,0
A,20260628,10.0,4,7,-8.957081745434476,-19.821467473726564,10.864385728292088,0
A,20260628,10.0,4,8,-9.108636454701118,-25.236337840387918,16.127701385686798,0
A,20260628,10.0,4,9,-7.580901318840674,-19.395741904044463,11.81484058520379,0
A,20260628,10.0,4,10,-6.244522767348354,-21.05595496616253,14.811432198814177,0
A,20260628,10.0,4,11,-8.2435521234966,-20.827368185333818,12.583816061837217,0
A,20260628,10.0,4,12,-7.845990232739377,-25.159792824364885,17.31380259162551,0
A,20260628,10.0,4,13,-10.9241098149418,-24.61694373477727,13.692833919835468,0
A,20260628,10.0,4,14,-9.546626787590174,-16.586815692926354,7.04018890533618,0
A,20260628,10.0,4,15,-8.674063627765893,-22.32136276801444,13.647299140248546,0
A,20260628,10.0,4,16,-8.688754983293986,-20.482026630270838,11.793271646976851,0
A,20260628,10.0,4,17,-5.305028358170929,-20.25391040738593,14.948882049215001,0
A,20260628,10.0,4,18,-8.440700817413791,-20.770435556828488,12.329734739414697,0
A,20260628,10.0,4,19,-7.8853630063347655,-21.71245048605374,13.827087479718974,0
A,20260628,10.0,4,20,-8.337854524732107,-21.72140602386902,13.383551499136912,0
A,20260628,10.0,4,21,-8.204600055042308,-18.278798181774075,10.074198126731767,0
A,20260628,10.0,4,22,-7.739695337568997,-17.206406961585337,9.466711624016341,0
A,20260628,10.0,4,23,-10.197475262406606,-20.874009220806535,10.67653395839993,0
A,20260628,10.0,4,24,-6.223511671934471,-18.83931827952409,12.615806607589619,0
A,20260628,10.0,4,25,-9.000842821177324,-18.087313691560805,9.086470870383481,0
A,20260628,10.0,4,26,-8.165219098732805,-23.430716140080385,15.26549704134758,0
A,20260628,10.0,4,27,-6.5454944855417025,-17.390926699518793,10.845432213977091,0
A,20260628,10.0,4,28,-6.746192629444584,-23.713963406162012,16.96777077671743,0
A,20260628,10.0,4,29,-8.861952953679285,-21.435322625531064,12.57336967185178,0
A,20260628,10.0,4,30,-10.578097683683776,-16.910609961529733,6.332512277845957,0
A,20260628,10.0,4,31,-6.981454561502939,-19.24097559334755,12.25952103184461,0
A,20260628,10.0,4,32,-8.263755555736035,-19.807065547981,11.543309992244966,0
A,20260628,10.0,4,33,-5.758246113213658,-16.65994937814032,10.90170326492666,0
A,20260628,10.0,4,34,-8.675854299392435,-17.51143555788266,8.835581258490224,0
A,20260628,10.0,4,35,-10.960973663059054,-18.693194287468366,7.732220624409312,0
A,20260628,10.0,4,36,-8.102980352173446,-15.814844266673646,7.711863914500199,0
A,20260628,10.0,4,37,-4.822905495876176,-16.40561932322147,11.582713827345293,0
A,20260628,10.0,4,38,-7.331664787163815,-19.207747393388125,11.87608260622431,0
A,20260628,10.0,4,39,-6.604780223973008,-20.471394860490943,13.866614636517934,0
A,20260628,10.0,4,40,-7.8606639961448,-19.3093580582069,11.4486940620621,0
A,20260628,10.0,4,41,-7.18632982265728,-21.016976929369555,13.830647106712275,0
A,20260628,10.0,4,42,-8.172303466205491,-17.895582431520975,9.723278965315483,0
A,20260628,10.0,4,43,-7.726226654336993,-19.600669380619316,11.874442726282322,0
A,20260628,10.0,4,44,-7.304886643369487,-17.552656087731716,10.247769444362229,0
A,20260628,10.0,4,45,-9.02088985192357,-15.34055724737736,6.31966739545379,0
A,20260628,10.0,4,46,-8.88334466360645,-15.432515317648079,6.549170654041628,0
A,20260628,10.0,4,47,-7.902661503521305,-20.803734214212255,12.90107271069095,0
