Nv,theta_center_deg,delta_theta_deg,epsilon_grid,epsilon_corrected
16,-20,0.15,0.00063513781752067,6.35799196302411e-06
16,-20,0.1625,0.000745439118072677,7.4629243347335e-06
16,-20,0.175,0.000864570433117828,8.65651732906425e-06
16,-20,0.1875,0.000992531954858489,9.93881011712716e-06
16,-20,0.2,0.00112932373357222,1.13098418177415e-05
16,-20,0.2125,0.00127494567754105,1.27696514938824e-05
16,-20,0.225,0.00142939755298399,1.43182781557893e-05
16,-20,0.2375,0.00159267898398863,1.59557607591898e-05
16,-20,0.25,0.00176478945245062,1.76821382051884e-05
16,0,-0.25,0.00199527114072717,1.99642674857392e-05
16,0,-0.2375,0.00180083793089603,1.8017792085212e-05
16,0,-0.225,0.00161635454315279,1.61711278111598e-05
16,0,-0.2125,0.00144182430939932,1.44242759462232e-05
16,0,-0.2,0.00127725038184823,1.27772377044311e-05
16,0,-0.1875,0.0011226357329549,1.12300142296462e-05
16,0,-0.175,0.000977983155352136,9.78260659667551e-06
16,0,-0.1625,0.000843295261788279,8.43501581093697e-06
16,0,-0.15,0.000718574485071066,7.18724280901473e-06
16,0,-0.1375,0.000603823078014099,6.03928845710477e-06
16,0,-0.125,0.000499043113387332,4.99115355290236e-06
16,0,-0.1125,0.000404236483871334,4.04283882460277e-06
16,0,-0.1,0.000319404902016984,3.19434493112336e-06
16,0,-0.0875,0.000244549900206836,2.44567246154848e-06
16,0,-0.075,0.000179672830622146,1.79682193635067e-06
16,0,-0.0625,0.00012477486521334,1.24779380594742e-06
16,0,-0.05,7.98569956741435e-05,7.98588451922377e-07
16,0,-0.0375,4.49200334200484e-05,4.49206186248219e-07
16,0,-0.025,1.9964609569989e-05,1.99647251730717e-07
16,0,-0.0125,4.99117493346635e-06,4.99118216756855e-08
16,0,0,0,0
16,0,0.0125,4.99117493346635e-06,4.99118216756855e-08
16,0,0.025,1.9964609569989e-05,1.99647251730717e-07
16,0,0.0375,4.49200334200484e-05,4.49206186248219e-07
16,0,0.05,7.98569956741435e-05,7.98588451922377e-07
16,0,0.0625,0.00012477486521334,1.24779380594742e-06
16,0,0.075,0.000179672830622146,1.79682193635067e-06
16,0,0.0875,0.000244549900206836,2.44567246154848e-06
16,0,0.1,0.000319404902016984,3.19434493112336e-06
16,0,0.1125,0.000404236483871334,4.04283882460277e-06
16,0,0.125,0.000499043113387332,4.99115355290236e-06
16,0,0.1375,0.000603823078014099,6.03928845710477e-06
16,0,0.15,0.000718574485071066,7.18724280901473e-06
16,0,0.1625,0.000843295261788279,8.43501581093697e-06
16,0,0.175,0.000977983155352136,9.78260659667551e-06
16,0,0.1875,0.0011226357329549,1.12300142296462e-05
16,0,0.2,0.00127725038184823,1.27772377044311e-05
16,0,0.2125,0.00144182430939932,1.44242759462232e-05
16,0,0.225,0.00161635454315279,1.61711278111598e-05
16,0,0.2375,0.00180083793089603,1.8017792085212e-05
16,0,0.25,0.00199527114072717,1.99642674857392e-05
16,20,-0.25,0.00176478945245062,1.76821382051884e-05
16,20,-0.2375,0.00159267898398863,1.59557607591898e-05
16,20,-0.225,0.00142939755298399,1.43182781557893e-05
16,20,-0.2125,0.00127494567754105,1.27696514938824e-05
16,20,-0.2,0.00112932373357222,1.13098418177415e-05
16,20,-0.1875,0.000992531954858489,9.93881011712716e-06
16,20,-0.175,0.000864570433117828,8.65651732906425e-06
16,20,-0.1625,0.000745439118072677,7.4629243347335e-06
16,20,-0.15,0.00063513781752067,6.35799196302411e-06
16,20,-0.1375,0.00053366619741102,5.34168098798027e-06
16,20,-0.125,0.000441023781919347,4.41395212957829e-06
16,20,-0.1125,0.000357209953528614,3.57476605472584e-06
16,20,-0.1,0.000282223953110949,2.82408337581863e-06
16,20,-0.0875,0.000216064880013578,2.16186465207269e-06
16,20,-0.075,0.000158731692146086,1.58807038819209e-06
16,20,-0.0625,0.000110223206071125,1.10266103603429e-06
16,20,-0.05,7.05380970982272e-05,7.05596993388902e-07
16,20,-0.0375,3.96748993790608e-05,3.96838604532768e-07
16,20,-0.025,1.7632006007462e-05,1.76346159896923e-07
16,20,-0.0125,4.4076691199102e-06,4.40798973988521e-08
16,20,0,0,0
16,20,0.0125,4.4069691856885e-06,4.40665984813293e-08
16,20,0.025,1.76264065787635e-05,1.76239769666964e-07
16,20,0.0375,3.96560015568648e-05,3.96479537534411e-07
16,20,0.05,7.04933030889476e-05,7.04745871993318e-07
16,20,0.0625,0.000110135719852744,1.10099869043978e-06
16,20,0.075,0.000158580520354779,1.58519785664613e-06
16,20,0.0875,0.00021582483305449,2.15730318164908e-06
