n_targets,trial,depth,nmse_db,fixed_depth_nmse_db,oracle_depth,oracle_nmse_db,oracle_gap_vs_fixed_db,oracle_depth_savings_percent
2.0,2.0,0.0,-3.6523987970393224,-32.82617436670327,8.0,-32.82617436670327,0.0,0.0
2.0,2.0,1.0,-6.746266010043921,-32.82617436670327,8.0,-32.82617436670327,0.0,0.0
2.0,2.0,2.0,-9.923362515478741,-32.82617436670327,8.0,-32.82617436670327,0.0,0.0
2.0,2.0,3.0,-13.780140245575868,-32.82617436670327,8.0,-32.82617436670327,0.0,0.0
2.0,2.0,4.0,-17.57239563649151,-32.82617436670327,8.0,-32.82617436670327,0.0,0.0
2.0,2.0,5.0,-21.20304108719724,-32.82617436670327,8.0,-32.82617436670327,0.0,0.0
2.0,2.0,6.0,-26.00219725584878,-32.82617436670327,8.0,-32.82617436670327,0.0,0.0
2.0,2.0,7.0,-27.827478636990094,-32.82617436670327,8.0,-32.82617436670327,0.0,0.0
2.0,2.0,8.0,-32.82617436670327,-32.82617436670327,8.0,-32.82617436670327,0.0,0.0
2.0,3.0,0.0,-3.9649009086382527,-33.145518214840564,8.0,-33.145518214840564,0.0,0.0
2.0,3.0,1.0,-8.296057989402536,-33.145518214840564,8.0,-33.145518214840564,0.0,0.0
2.0,3.0,2.0,-9.408336567743994,-33.145518214840564,8.0,-33.145518214840564,0.0,0.0
2.0,3.0,3.0,-14.05672673305563,-33.145518214840564,8.0,-33.145518214840564,0.0,0.0
2.0,3.0,4.0,-17.32928130692834,-33.145518214840564,8.0,-33.145518214840564,0.0,0.0
2.0,3.0,5.0,-24.11283682368196,-33.145518214840564,8.0,-33.145518214840564,0.0,0.0
2.0,3.0,6.0,-25.220014162073827,-33.145518214840564,8.0,-33.145518214840564,0.0,0.0
2.0,3.0,7.0,-28.20229013751318,-33.145518214840564,8.0,-33.145518214840564,0.0,0.0
2.0,3.0,8.0,-33.145518214840564,-33.145518214840564,8.0,-33.145518214840564,0.0,0.0
2.0,4.0,0.0,-5.632559345411629,-32.48140975121971,8.0,-32.48140975121971,0.0,0.0
2.0,4.0,1.0,-5.811550651333474,-32.48140975121971,8.0,-32.48140975121971,0.0,0.0
2.0,4.0,2.0,-12.506663142010911,-32.48140975121971,8.0,-32.48140975121971,0.0,0.0
2.0,4.0,3.0,-12.506663142010911,-32.48140975121971,8.0,-32.48140975121971,0.0,0.0
2.0,4.0,4.0,-19.88567886578749,-32.48140975121971,8.0,-32.48140975121971,0.0,0.0
2.0,4.0,5.0,-20.980343462903384,-32.48140975121971,8.0,-32.48140975121971,0.0,0.0
2.0,4.0,6.0,-25.507676571861595,-32.48140975121971,8.0,-32.48140975121971,0.0,0.0
2.0,4.0,7.0,-28.830817675282493,-32.48140975121971,8.0,-32.48140975121971,0.0,0.0
2.0,4.0,8.0,-32.48140975121971,-32.48140975121971,8.0,-32.48140975121971,0.0,0.0
8.0,0.0,0.0,-5.433238298302729,-16.635093244965276,7.0,-16.556211173453526,0.07888207151174953,12.5
8.0,0.0,1.0,-7.072799083580308,-16.635093244965276,7.0,-16.556211173453526,0.07888207151174953,12.5
8.0,0.0,2.0,-9.684779675454646,-16.635093244965276,7.0,-16.556211173453526,0.07888207151174953,12.5
8.0,0.0,3.0,-12.474426431556378,-16.635093244965276,7.0,-16.556211173453526,0.07888207151174953,12.5
8.0,0.0,4.0,-14.373210260712943,-16.635093244965276,7.0,-16.556211173453526,0.07888207151174953,12.5
8.0,0.0,5.0,-15.681227443869696,-16.635093244965276,7.0,-16.556211173453526,0.07888207151174953,12.5
8.0,0.0,6.0,-16.09774137104718,-16.635093244965276,7.0,-16.556211173453526,0.07888207151174953,12.5
8.0,0.0,7.0,-16.556211173453526,-16.635093244965276,7.0,-16.556211173453526,0.07888207151174953,12.5
8.0,0.0,8.0,-16.635093244965276,-16.635093244965276,7.0,-16.556211173453526,0.07888207151174953,12.5
8.0,1.0,0.0,-7.7552249786491325,-17.867972061448278,7.0,-17.773541866897354,0.09443019455092383,12.5
8.0,1.0,1.0,-9.15290655864354,-17.867972061448278,7.0,-17.773541866897354,0.09443019455092383,12.5
8.0,1.0,2.0,-10.458810375506783,-17.867972061448278,7.0,-17.773541866897354,0.09443019455092383,12.5
