profile,seed,L,snr_db,sample,method,nmse_db,newton_updates,wall_ms
A,3101,16,0.0,4,deterministic,-8.084520544025803,0,4.49
A,3101,16,0.0,4,controller,-6.848769435355271,0,5.3
A,3101,16,0.0,4,nomp2d,-5.819130231792313,489,174.52
A,3101,16,0.0,5,grid,-4.4839525883901885,0,0.3
A,3101,16,0.0,5,deterministic,-5.8135591448890755,0,4.48
A,3101,16,0.0,5,controller,-5.66413381405493,0,5.33
A,3101,16,0.0,5,nomp2d,-4.9634335627763,447,179.66
A,3101,16,10.0,0,grid,-10.822135733228762,0,0.46
A,3101,16,10.0,0,deterministic,-14.552284265463083,0,4.96
A,3101,16,10.0,0,controller,-12.039596901785712,0,5.84
A,3101,16,10.0,0,nomp2d,-15.004167671460639,504,178.12
A,3101,16,10.0,1,grid,-10.520865901553888,0,0.31
A,3101,16,10.0,1,deterministic,-12.667729080923696,0,4.67
A,3101,16,10.0,1,controller,-11.373494051519845,0,5.48
A,3101,16,10.0,1,nomp2d,-14.923168582123855,504,172.4
A,3101,16,10.0,2,grid,-10.104093640334192,0,0.33
A,3101,16,10.0,2,deterministic,-12.989941500204445,0,4.65
A,3101,16,10.0,2,controller,-12.225205512817709,0,5.53
A,3101,16,10.0,2,nomp2d,-15.256958915803775,476,173.57
A,3101,16,10.0,3,grid,-11.528270456099008,0,0.31
A,3101,16,10.0,3,deterministic,-10.35879142821594,0,4.8
A,3101,16,10.0,3,controller,-11.583613887949689,0,5.67
A,3101,16,10.0,3,nomp2d,-16.396282562183984,536,159.24
A,3101,16,10.0,4,grid,-10.63223563598713,0,0.31
A,3101,16,10.0,4,deterministic,-16.841185336797754,0,4.81
A,3101,16,10.0,4,controller,-12.00193702581441,0,5.66
A,3101,16,10.0,4,nomp2d,-16.387945743111004,467,169.37
A,3101,16,10.0,5,grid,-9.295189672403039,0,0.35
A,3101,16,10.0,5,deterministic,-14.149925420724024,0,4.72
A,3101,16,10.0,5,controller,-14.448709336220489,0,5.56
A,3101,16,10.0,5,nomp2d,-15.818173478679014,504,172.25
A,3101,16,20.0,0,grid,-11.028749169015429,0,0.44
A,3101,16,20.0,0,deterministic,-15.164348294980698,0,5.22
A,3101,16,20.0,0,controller,-12.599541316647727,0,6.12
A,3101,16,20.0,0,nomp2d,-26.86900851569234,501,183.43
A,3101,16,20.0,1,grid,-11.116976682313123,0,0.32
A,3101,16,20.0,1,deterministic,-14.342515182566618,0,4.64
A,3101,16,20.0,1,controller,-12.731545834450548,0,5.46
A,3101,16,20.0,1,nomp2d,-27.972162466414588,504,174.37
A,3101,16,20.0,2,grid,-10.541271086889344,0,0.3
A,3101,16,20.0,2,deterministic,-13.121694280276714,0,4.69
A,3101,16,20.0,2,controller,-13.646081990935892,0,5.66
A,3101,16,20.0,2,nomp2d,-25.090099469620245,489,177.75
A,3101,16,20.0,3,grid,-12.195686556717163,0,0.28
A,3101,16,20.0,3,deterministic,-13.37063481332477,0,4.56
A,3101,16,20.0,3,controller,-12.834339456215847,0,5.4
A,3101,16,20.0,3,nomp2d,-25.08388476576266,497,165.87
A,3101,16,20.0,4,grid,-11.008867273630582,0,0.3
