seed,snr_db,L,scene,method,nmse_db,wall_ms,newton_updates
1,30,2,1,deterministic,-10.292930,29.977,0
1,30,2,1,learned_scalar,-10.269237,37.643,0
1,30,2,1,nomp_inspired,-73.430229,86.215,6
1,30,2,1,parafac_als,-52.842839,16.164,0
1,30,2,2,grid,-5.472812,14.112,0
1,30,2,2,deterministic,-13.326348,25.625,0
1,30,2,2,learned_scalar,-13.172443,32.275,0
1,30,2,2,nomp_inspired,-70.244813,86.194,7
1,30,2,2,parafac_als,-53.322124,14.450,0
1,30,2,3,grid,-5.507617,9.041,0
1,30,2,3,deterministic,-13.890451,18.879,0
1,30,2,3,learned_scalar,-13.968486,23.198,0
1,30,2,3,nomp_inspired,-73.703452,82.908,7
1,30,2,3,parafac_als,-15.565923,14.611,0
1,30,2,4,grid,-2.353365,8.494,0
1,30,2,4,deterministic,-12.091299,18.336,0
1,30,2,4,learned_scalar,-12.782414,22.410,0
1,30,2,4,nomp_inspired,-74.425961,83.439,7
1,30,2,4,parafac_als,-52.928926,15.083,0
1,30,2,5,grid,-4.071849,9.339,0
1,30,2,5,deterministic,-14.097801,18.964,0
1,30,2,5,learned_scalar,-14.238342,22.980,0
1,30,2,5,nomp_inspired,-73.117152,80.713,7
1,30,2,5,parafac_als,-53.196864,14.457,0
1,30,4,1,grid,-6.990239,16.015,0
1,30,4,1,deterministic,-14.915693,38.885,0
1,30,4,1,learned_scalar,-15.328876,51.229,0
1,30,4,1,nomp_inspired,-69.321438,282.947,17
1,30,4,1,parafac_als,-21.588284,16.914,0
1,30,4,2,grid,-4.088700,14.937,0
1,30,4,2,deterministic,-9.333084,37.707,0
1,30,4,2,learned_scalar,-9.349727,50.250,0
1,30,4,2,nomp_inspired,-68.426416,268.314,17
1,30,4,2,parafac_als,-8.809739,17.208,0
1,30,4,3,grid,-6.189424,15.622,0
1,30,4,3,deterministic,-14.206107,37.629,0
1,30,4,3,learned_scalar,-15.176352,49.839,0
1,30,4,3,nomp_inspired,-66.704988,285.468,17
1,30,4,3,parafac_als,-30.487421,17.523,0
1,30,4,4,grid,-3.714568,16.679,0
1,30,4,4,deterministic,-11.989784,41.289,0
1,30,4,4,learned_scalar,-11.713896,53.112,0
1,30,4,4,nomp_inspired,-69.792871,298.495,18
1,30,4,4,parafac_als,-16.450796,17.660,0
1,30,4,5,grid,-4.619501,15.561,0
1,30,4,5,deterministic,-11.861025,37.984,0
1,30,4,5,learned_scalar,-11.837472,49.233,0
1,30,4,5,nomp_inspired,-70.525933,285.030,16
1,30,4,5,parafac_als,-12.943914,18.271,0
1,30,8,1,grid,-4.834633,33.918,0
1,30,8,1,deterministic,-11.840789,79.055,0
1,30,8,1,learned_scalar,-11.888724,107.090,0
1,30,8,1,nomp_inspired,-64.570557,1418.873,61
1,30,8,1,parafac_als,-21.229025,27.096,0
1,30,8,2,grid,-6.545539,29.743,0
1,30,8,2,deterministic,-10.542423,80.078,0
1,30,8,2,learned_scalar,-10.592235,112.143,0
1,30,8,2,nomp_inspired,-64.334220,1301.677,50
1,30,8,2,parafac_als,-10.106559,26.617,0
1,30,8,3,grid,-4.649486,28.460,0
1,30,8,3,deterministic,-12.586805,73.970,0
1,30,8,3,learned_scalar,-13.345974,98.288,0
1,30,8,3,nomp_inspired,-64.817423,1273.735,51
1,30,8,3,parafac_als,-8.897052,24.616,0
1,30,8,4,grid,-6.315707,29.829,0
1,30,8,4,deterministic,-13.088063,76.928,0
1,30,8,4,learned_scalar,-13.453974,103.107,0
1,30,8,4,nomp_inspired,-64.431773,1411.531,53
1,30,8,4,parafac_als,-12.316424,25.201,0
1,30,8,5,grid,-5.324030,30.626,0
1,30,8,5,deterministic,-13.081123,86.512,0
1,30,8,5,learned_scalar,-13.639546,120.383,0
1,30,8,5,nomp_inspired,-64.201955,1322.305,49
1,30,8,5,parafac_als,-11.521625,26.396,0
2,0,2,1,grid,-7.671793,9.775,0
2,0,2,1,deterministic,-12.365477,19.897,0
2,0,2,1,learned_scalar,-12.847480,24.310,0
2,0,2,1,nomp_inspired,-46.688811,80.144,7
2,0,2,1,parafac_als,-22.455017,13.649,0
2,0,2,2,grid,-6.192498,10.374,0
2,0,2,2,deterministic,-9.140986,23.259,0
2,0,2,2,learned_scalar,-9.428135,27.621,0
2,0,2,2,nomp_inspired,-42.778916,77.063,6
2,0,2,2,parafac_als,-22.807035,13.475,0
2,0,2,3,grid,-3.233277,9.763,0
2,0,2,3,deterministic,-12.139689,19.846,0
