split,seed,separation_bins,dynamic_range_db,snr_db,sample_index,pair_axis,component_index,component_role,theory_ratio,theory_condition_satisfied,noiseless_candidate_gap,interference_envelope,noise_envelope,candidate_axis_correctness,candidate_all_axis_correct,grid_half_bin_hit,candan_half_bin_hit,local_half_bin_hit
validation,20260820,0.25,0.0,30.0,1,1,3,nuisance,4.5313174961723214e-07,0.0,1.7345297198486338e-06,1.913048235364538,0.0008870840142296242,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,0.0,30.0,2,2,0,strong_pair,0.011499570656516757,0.0,0.0212165108323491,0.9218542965832482,0.00063713662194694,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,30.0,2,2,1,weak_pair,0.0070989989567302285,0.0,0.013390368596762348,0.9424795392910398,0.00063713662194694,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,30.0,2,2,2,nuisance,11.710437346861912,1.0,0.020150824561455782,0.000223242199295619,0.00063713662194694,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,30.0,2,2,3,nuisance,1.070867214495943,1.0,0.0026158600370215224,0.0005842379806235605,0.00063713662194694,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,30.0,3,0,0,strong_pair,2.5741523013864536e-06,0.0,4.949429651688003e-06,0.9607744572271066,0.0005963305507204985,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,0.0,30.0,3,0,1,weak_pair,0.014225886492868621,0.0,0.028067591233676414,0.9859007586727379,0.0005963305507204985,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,30.0,3,0,2,nuisance,3.4718242397723385e-06,0.0,6.643408175314929e-06,0.9561641095674354,0.0005963305507204985,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,0.0,30.0,3,0,3,nuisance,4.107363544062499,1.0,0.00559186102677367,8.43811718706419e-05,0.0005963305507204985,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,30.0,4,1,0,strong_pair,0.020486967999878432,0.0,0.0404827968604492,0.9873893733099939,0.0006240033079961512,0.6666666666666666,0.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,30.0,4,1,1,weak_pair,4.410033653493869e-06,0.0,8.69712049937796e-06,0.9854365557183085,0.0006240033079961512,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,0.0,30.0,4,1,2,nuisance,10.317234676732964,1.0,0.02434899727676698,0.000556012366731008,0.0006240033079961512,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,30.0,4,1,3,nuisance,25.78980924572842,1.0,0.061029476806452876,0.0005592058469254041,0.0006240033079961512,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,0.0,0,0,0,strong_pair,0.016801369851537448,0.0,0.00936359042840873,0.2623718978073573,0.016283667517034778,1.0,1.0,0.0,1.0,1.0
validation,20260820,0.25,10.0,0.0,0,0,1,weak_pair,0.0014939395102341751,0.0,0.002982099504282798,0.9817820118006485,0.016283667517034778,0.6666666666666666,0.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,0.0,0,0,2,nuisance,6.381436563392384e-08,0.0,1.2645360170280792e-07,0.9745089263341602,0.016283667517034778,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,10.0,0.0,0,0,3,nuisance,0.8654899791609068,0.0,0.028331873669724228,8.386668433864707e-05,0.016283667517034778,1.0,1.0,0.0,1.0,1.0
validation,20260820,0.25,10.0,0.0,1,1,0,strong_pair,0.046752259274452375,0.0,0.030842924629055468,0.31117043206811384,0.018684478771558523,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,0.0,1,1,1,weak_pair,0.004885338741957824,0.0,0.009403461180749806,0.943732016525687,0.018684478771558523,0.6666666666666666,0.0,0.0,1.0,1.0
