profile,seed,snr_db,l_value,sample_index,component_index,delay_resolution_ns,spatial_resolution,gate_pass,grid_delay_error_bins,grid_projected_spatial_error_bins,candan_delay_error_bins,candan_projected_spatial_error_bins,gated_candan_delay_error_bins,gated_candan_projected_spatial_error_bins
D,20260628,20.0,16,6,7,130.20833333333334,0.25,1,0.10425595671404138,1.2626953125,0.6042559567140415,1.0828005528387257,0.6042559567140415,1.0828005528387257
D,20260628,20.0,16,6,8,130.20833333333334,0.25,1,0.026880000518758607,0.013671875,0.21683222752163542,1.486328125,0.21683222752163542,1.486328125
D,20260628,20.0,16,6,9,130.20833333333334,0.25,1,0.4700159843196161,0.984375,0.02998401568038391,0.015625,0.02998401568038391,0.015625
D,20260628,20.0,16,6,10,130.20833333333334,0.25,1,0.046784018399193834,0.0283203125,0.22391544818599132,0.0283203125,0.22391544818599132,0.0283203125
D,20260628,20.0,16,6,11,130.20833333333334,0.25,1,2.619199554435909,0.9521484375,2.1191995544359084,0.6637143128776497,2.1191995544359084,0.6637143128776497
D,20260628,20.0,16,6,12,130.20833333333334,0.25,1,1.4557439074851568,1.048828125,1.2940065610837834,0.9757034455154567,1.2940065610837834,0.9757034455154567
D,20260628,20.0,16,7,0,130.20833333333334,0.25,1,0.0,0.0400390625,0.026680693212590256,0.0019318529350216274,0.026680693212590256,0.0019318529350216274
D,20260628,20.0,16,7,1,130.20833333333334,0.25,1,0.3854720600647851,0.255859375,0.1181668716520648,0.244140625,0.1181668716520648,0.244140625
D,20260628,20.0,16,7,2,130.20833333333334,0.25,1,0.07903993921354407,0.3642578125,0.5790399392135441,0.1357421875,0.5790399392135441,0.1357421875
D,20260628,20.0,16,7,3,130.20833333333334,0.25,1,0.006271998747252023,0.4384765625,0.49372800125274796,0.10026276517851596,0.49372800125274796,0.10026276517851596
D,20260628,20.0,16,7,4,130.20833333333334,0.25,1,0.6368000099901111,0.017578125,0.21625086655628686,0.288973422975765,0.21625086655628686,0.288973422975765
D,20260628,20.0,16,7,5,130.20833333333334,0.25,1,3.0956159722991283,0.8984375,3.5956159722991288,1.3984375,3.5956159722991288,1.3984375
D,20260628,20.0,16,7,6,130.20833333333334,0.25,1,2.2376319440081716,1.5556640625,2.219859920773878,1.092645122477347,2.219859920773878,1.092645122477347
D,20260628,20.0,16,7,7,130.20833333333334,0.25,1,1.1042559567140413,0.2822265625,1.6042559567140413,1.2177734375,1.6042559567140413,1.2177734375
D,20260628,20.0,16,7,8,130.20833333333334,0.25,1,0.4700159843196161,0.9736328125,0.5308812633025398,0.0263671875,0.5308812633025398,0.0263671875
D,20260628,20.0,16,7,9,130.20833333333334,0.25,1,0.026880000518758607,0.0244140625,0.3136986311119543,0.0244140625,0.3136986311119543,0.0244140625
D,20260628,20.0,16,7,10,130.20833333333334,0.25,1,0.046784018399193834,0.0537109375,0.4590111860496506,0.0537109375,0.4590111860496506,0.0537109375
D,20260628,20.0,16,7,11,130.20833333333334,0.25,1,1.6191995544359084,0.8203125,1.8282495130491374,0.3203125,1.8282495130491374,0.3203125
D,20260628,20.0,16,7,12,130.20833333333334,0.25,1,1.4557439074851568,0.5625,1.3767958488906589,0.6471662132404061,1.3767958488906589,0.6471662132404061
D,20260628,20.0,16,8,0,130.20833333333334,0.25,0,0.0,0.015625,0.027946068704922007,0.010686391322492828,0.0,0.015625
