profile,seed,snr_db,l_value,n_samples,mean_channel_nmse_db,mean_support_recall,mean_dominant_energy_recall,mean_topk_energy_efficiency,mean_clean_topk_energy_fraction,mean_effective_support_95,mean_effective_support_99,mean_delay_support_recall,mean_angle_support_recall,mean_delay_bin_rmse,mean_angle_bin_rmse,mean_physical_delay_rmse_ns,mean_projected_broadside_angle_rmse_deg,mean_matched_physical_paths,mean_clean_grid_physical_delay_rmse_ns,mean_clean_grid_projected_broadside_angle_rmse_deg,mean_physical_delay_rmse_gap_vs_clean_grid_ns,mean_projected_angle_rmse_gap_vs_clean_grid_deg
A,20260627.0,20.0,16.0,50.0,-10.061560405261618,0.98,0.8970685425510636,0.9999115538070654,0.8971480513294628,36.84,169.54,0.9825,0.98,0.11662003681934524,0.13447530570060284,181.06955039937094,28.764627025462378,16.0,179.06796925092175,29.113124717037504,2.001581148449166,-0.3484976915751244
A,20260627.0,30.0,4.0,50.0,-5.455946767210646,1.0,0.7081362078360516,1.0,0.7081362078360519,36.84,169.54,1.0,1.0,0.0,0.0,43.028812384319416,22.410078333245522,4.0,43.028812384319416,22.410078333245522,0.0,0.0
A,20260627.0,30.0,8.0,50.0,-7.8147583098302285,1.0,0.828553570678287,1.0,0.828553570678287,36.84,169.54,1.0,1.0,0.0,0.0,71.92554413218718,37.61974293773108,8.0,71.92554413218718,37.61974293773108,0.0,0.0
A,20260627.0,30.0,16.0,50.0,-10.068020676104577,0.9925,0.8971412182186498,0.9999924424294631,0.8971480513294628,36.84,169.54,0.99375,0.9925,0.03573132184970986,0.07090956063421093,178.89625990697522,29.31658422283083,16.0,179.06796925092175,29.113124717037504,-0.17170934394653842,0.2034595057933214
A,20260628.0,0.0,4.0,50.0,-5.2730047655044805,0.955,0.6932418376973635,0.9988517085095913,0.6939948098919249,40.46,184.4,0.965,0.97,0.07,0.08382332347441762,44.07789750953866,22.94300911032237,4.0,44.44138944523477,22.54790944813117,-0.3634919356961057,0.3950996621912026
A,20260628.0,0.0,8.0,50.0,-7.40702945101585,0.9425,0.8154205515002841,0.9979693962767459,0.8171426983712035,40.46,184.4,0.955,0.95,0.18545501581030982,0.19682835214817032,67.38744989091653,38.184554287316075,8.0,67.20192980655273,38.409493744144974,0.1855200843638177,-0.2249394568288956
A,20260628.0,0.0,16.0,50.0,-9.11852678243371,0.86875,0.8814884784395244,0.993237816894212,0.8874780465928416,40.46,184.4,0.89875,0.8975,1.3120109949524126,0.6519422295742924,221.5421439894594,27.473750327785584,16.0,180.9957725785666,27.866203508438716,40.54637141089277,-0.39245318065313567
A,20260628.0,10.0,4.0,50.0,-5.304956959549347,0.985,0.693897763612628,0.9998340718615425,0.6939948098919249,40.46,184.4,0.99,0.99,0.02,0.02,44.43048777744914,22.606037859551943,4.0,44.44138944523477,22.54790944813117,-0.010901667785640256,0.05812841142076955
A,20260628.0,10.0,8.0,50.0,-7.540086449680078,0.985,0.8169853034524412,0.9997973363249362,0.8171426983712035,40.46,184.4,0.9875,0.985,0.0382842712474619,0.05535533905932739,66.93794623573132,38.39543215390273,8.0,67.20192980655273,38.409493744144974,-0.26398357082140367,-0.014061590242243795
A,20260628.0,10.0,16.0,50.0,-9.671833961515535,0.96625,0.8871460855994822,0.9996192485698044,0.8874780465928416,40.46,184.4,0.97,0.96875,0.16913849083443588,0.19741961116831186,180.87293997663954,27.629639484589543,16.0,180.9957725785666,27.866203508438716,-0.12283260192710742,-0.2365640238491688
A,20260628.0,20.0,4.0,50.0,-5.3085329698290025,0.995,0.6939874175919258,0.9999835972082336,0.6939948098919249,40.46,184.4,0.995,0.995,0.01,0.01,44.52661359547902,22.53600592047128,4.0,44.44138944523477,22.54790944813117,0.08522415024425534,-0.011903527659892532
A,20260628.0,20.0,8.0,50.0,-7.551696220068534,0.995,0.8171272057700508,0.9999816192766289,0.8171426983712035,40.46,184.4,0.995,0.995,0.017071067811865473,0.02,66.93887558780617,38.34803742414457,8.0,67.20192980655273,38.409493744144974,-0.2630542187465646,-0.06145632000040109
A,20260628.0,20.0,16.0,50.0,-9.714151326048382,0.995,0.8874595911938867,0.9999792226995663,0.8874780465928416,40.46,184.4,0.99625,0.995,0.02414213562373095,0.02414213562373095,180.5110155240465,27.889065963785733,16.0,180.9957725785666,27.866203508438716,-0.48475705452012735,0.022862455347020683
A,20260628.0,30.0,4.0,50.0,-5.308886089888774,1.0,0.6939948098919249,1.0,0.6939948098919249,40.46,184.4,1.0,1.0,0.0,0.0,44.44138944523477,22.54790944813117,4.0,44.44138944523477,22.54790944813117,0.0,0.0
A,20260628.0,30.0,8.0,50.0,-7.552999422611086,0.9975,0.8171414694761765,0.9999985399529169,0.8171426983712035,40.46,184.4,0.9975,0.9975,0.01,0.007071067811865475,67.3230422502913,38.439030864405915,8.0,67.20192980655273,38.409493744144974,0.12111244373857602,0.02953712026094024
A,20260628.0,30.0,16.0,50.0,-9.717856703828694,0.9975,0.8874772172908907,0.9999990690480377,0.8874780465928416,40.46,184.4,0.9975,0.9975,0.013660254037844386,0.02118033988749895,180.8917506302743,27.696093435858867,16.0,180.9957725785666,27.866203508438716,-0.10402194829234589,-0.17011007257984495
A,20260629.0,0.0,4.0,50.0,-5.503538129760657,0.975,0.7113252284254007,0.9993899113473058,0.7117633581713393,36.1,167.72,0.975,0.98,0.05732050807568877,0.05,47.04374253051975,22.56866814300893,4.0,46.21782332918204,22.844007391655072,0.8259192013377045,-0.2753392486461373
