profile,seed,sample_index,snr_db,l_value,channel_nmse_db,support_recall,dominant_energy_recall,topk_energy_efficiency,clean_topk_energy_fraction,effective_support_95,effective_support_99,delay_support_recall,angle_support_recall,delay_bin_rmse,angle_bin_rmse,physical_delay_rmse_ns,projected_broadside_angle_rmse_deg,matched_physical_paths,clean_grid_physical_delay_rmse_ns,clean_grid_projected_broadside_angle_rmse_deg,physical_delay_rmse_gap_vs_clean_grid_ns,projected_angle_rmse_gap_vs_clean_grid_deg,physical_truth_path_count,noise_variance
A,20260626.0,12.0,0.0,8.0,-7.25229302994017,1.0,0.8190132537336359,1.0,0.8190132537336359,41.0,185.0,1.0,1.0,0.0,0.0,55.93060357938502,39.28795497712883,8.0,55.93060357938502,39.28795497712883,0.0,0.0,23.0,0.9999999480379547
A,20260626.0,13.0,0.0,8.0,-8.090225187384142,1.0,0.8502803234325743,1.0,0.8502803234325743,35.0,151.0,1.0,1.0,0.0,0.0,74.03817953469178,35.80665140595001,8.0,74.03817953469178,35.80665140595001,0.0,0.0,23.0,1.0000000264367026
A,20260626.0,14.0,0.0,8.0,-9.37443634935147,0.875,0.8900614330292148,0.988344908209092,0.9005575135121912,18.0,82.0,0.875,1.0,0.7071067811865476,0.0,71.4101086847484,40.13757378161631,8.0,66.36373520968087,40.13757378161631,5.046373475067526,0.0,23.0,1.000000050882969
A,20260626.0,15.0,0.0,8.0,-7.4229942544367935,1.0,0.8233682666131378,1.0,0.8233682666131378,40.0,181.0,1.0,1.0,0.0,0.0,90.43092902421286,35.84779741479265,8.0,90.43092902421286,35.84779741479265,0.0,0.0,23.0,1.000000043735266
A,20260626.0,16.0,0.0,8.0,-7.699273987561481,0.875,0.8329835062849149,0.9922144292139146,0.8395196459144916,32.0,143.0,0.875,1.0,0.6123724356957945,0.0,93.83197714187452,33.89064823117647,8.0,90.34448673740506,33.89064823117647,3.4874904044694546,0.0,23.0,0.9999999506735873
A,20260626.0,17.0,0.0,8.0,-7.0711547948921085,0.75,0.8087242283370516,0.9778399438134009,0.8270517413956027,40.0,181.0,0.75,0.875,0.7905694150420949,0.3535533905932738,78.50090320271,37.47982558973839,8.0,72.46346569009484,38.653148853636914,6.0374375126151705,-1.1733232638985243,23.0,1.0000001187772194
A,20260626.0,18.0,0.0,8.0,-5.715258047233236,0.875,0.7360772126476255,0.9942535973449239,0.7403314552879284,58.0,244.0,0.875,1.0,0.6123724356957945,0.0,67.47036685870272,44.77922257800132,8.0,38.42109207737061,44.79437189188406,29.04927478133211,-0.015149313882744764,23.0,0.9999998749278826
A,20260626.0,19.0,0.0,8.0,-6.7387931211239005,0.875,0.7928847564602308,0.9936045272135349,0.797988268716727,42.0,193.0,1.0,0.875,0.0,0.7905694150420949,131.60632389698577,26.810877259574152,8.0,131.60632389698577,27.695806849754877,0.0,-0.8849295901807253,23.0,1.000000031921816
A,20260626.0,20.0,0.0,8.0,-5.637999105270155,1.0,0.7289885273848223,1.0,0.7289885273848223,62.0,270.0,1.0,1.0,0.0,0.0,58.542777011175744,32.080003936323486,8.0,58.542777011175744,32.080003936323486,0.0,0.0,23.0,1.0000001421500597
A,20260626.0,21.0,0.0,8.0,-7.674088630361277,1.0,0.8315289017909393,0.9999999999999999,0.8315289017909394,41.0,194.0,1.0,1.0,0.0,0.0,122.04738308029258,29.623675983804738,8.0,122.04738308029258,29.623675983804738,0.0,0.0,23.0,0.9999999969908056
