protocol,split,threshold,is_tau_zero,gated_gain_db,increment_db,pass_rate
primary_ac_only_zero_shot_d,validation,0.12838363267921055,0,1.3434917637536583,-6.132623967110844,0.12
primary_ac_only_zero_shot_d,test,0.12838363267921055,0,0.925883417220038,-4.212437640219902,0.08366666666666667
primary_ac_only_zero_shot_d,validation,0.1322858074509781,0,1.2321530426012717,-6.243962688263231,0.11
primary_ac_only_zero_shot_d,test,0.1322858074509781,0,0.8652811783136236,-4.273039879126316,0.07755555555555556
primary_ac_only_zero_shot_d,validation,0.13741906196110262,0,1.140204616255682,-6.3359111146088205,0.1
primary_ac_only_zero_shot_d,test,0.13741906196110262,0,0.7832021506530973,-4.355118906786843,0.07011111111111111
primary_ac_only_zero_shot_d,validation,0.14177328457593305,0,1.034681984071651,-6.4414337467928515,0.09
primary_ac_only_zero_shot_d,test,0.14177328457593305,0,0.7280664190215347,-4.410254638418405,0.06455555555555556
primary_ac_only_zero_shot_d,validation,0.14706702539926028,0,0.932057620730939,-6.544058110133563,0.08
primary_ac_only_zero_shot_d,test,0.14706702539926028,0,0.6631007664626873,-4.475220290977253,0.058444444444444445
primary_ac_only_zero_shot_d,validation,0.15354207511401494,0,0.8340224014203657,-6.642093329444137,0.07
primary_ac_only_zero_shot_d,test,0.15354207511401494,0,0.5881294795380743,-4.550191577901866,0.051666666666666666
primary_ac_only_zero_shot_d,validation,0.1617636486529516,0,0.7369071088361304,-6.739208622028372,0.06
primary_ac_only_zero_shot_d,test,0.1617636486529516,0,0.49628088369341516,-4.642040173746525,0.042777777777777776
primary_ac_only_zero_shot_d,validation,0.17307750764025806,0,0.6278475574409736,-6.848268173423529,0.05
primary_ac_only_zero_shot_d,test,0.17307750764025806,0,0.40318301896449743,-4.7351380384754425,0.034
primary_ac_only_zero_shot_d,validation,0.18658046642720466,0,0.5085923076821256,-6.967523423182377,0.04
primary_ac_only_zero_shot_d,test,0.18658046642720466,0,0.3137163008310607,-4.824604756608879,0.02588888888888889
primary_ac_only_zero_shot_d,validation,0.1982754696666099,0,0.3837659536972239,-7.0923497771672785,0.03
primary_ac_only_zero_shot_d,test,0.1982754696666099,0,0.2291934911925952,-4.909127566247345,0.01888888888888889
primary_ac_only_zero_shot_d,validation,0.219258557631339,0,0.2684376028157302,-7.207678128048772,0.02
primary_ac_only_zero_shot_d,test,0.219258557631339,0,0.13685781748745443,-5.001463239952486,0.011666666666666667
primary_ac_only_zero_shot_d,validation,0.25015783216792153,0,0.1416507394527174,-7.334464991411785,0.01
primary_ac_only_zero_shot_d,test,0.25015783216792153,0,0.0671354729792778,-5.071185584460663,0.005555555555555556
primary_ac_only_zero_shot_d,validation,0.352177675143027,0,0.0031324541194306644,-7.4729832767450715,0.0002777777777777778
primary_ac_only_zero_shot_d,test,0.352177675143027,0,0.0,-5.13832105743994,0.0
secondary_acd_pooled,validation,-0.12244524115662697,0,4.985045283749585,0.0,1.0
secondary_acd_pooled,test,-0.12244524115662697,0,5.13832105743994,0.0,1.0
secondary_acd_pooled,validation,-0.021773472581107185,0,4.999984166735998,0.014938882986412771,0.99
secondary_acd_pooled,test,-0.021773472581107185,0,5.142663022334018,0.004341964894077677,0.9936666666666667
secondary_acd_pooled,validation,-0.014548161791911244,0,5.011086047446319,0.02604076369673347,0.98
secondary_acd_pooled,test,-0.014548161791911244,0,5.146871900098743,0.008550842658802793,0.984
secondary_acd_pooled,validation,-0.010801459003409002,0,5.014691043779409,0.02964576002982433,0.97
secondary_acd_pooled,test,-0.010801459003409002,0,5.15256402675034,0.014242969310399367,0.9741111111111111
